timestamp,open,high,low,close,volume
2026-01-28 05:45:00,126.59,126.8,126.52,126.7,50239.21
2026-01-28 06:00:00,126.7,127.14,126.7,127.0,151323.55
2026-01-28 06:15:00,127.0,127.14,126.83,126.96,74906.74
2026-01-28 06:30:00,126.96,127.23,126.78,126.87,80578.56
2026-01-28 06:45:00,126.87,127.49,126.78,127.35,142390.83
2026-01-28 07:00:00,127.35,127.41,127.07,127.15,67810.67
2026-01-28 07:15:00,127.15,127.48,127.15,127.45,69082.83
2026-01-28 07:30:00,127.44,127.44,126.95,127.22,90122.31
2026-01-28 07:45:00,127.21,127.25,126.88,127.04,47233.02
2026-01-28 08:00:00,127.04,127.23,126.96,127.04,60536.04
2026-01-28 08:15:00,127.04,127.21,126.88,126.97,93935.84
2026-01-28 08:30:00,126.96,127.03,126.67,126.76,124485.58
2026-01-28 08:45:00,126.76,126.84,126.6,126.64,106392.62
2026-01-28 09:00:00,126.63,126.79,126.5,126.55,82206.51
2026-01-28 09:15:00,126.55,126.63,125.92,126.34,310364.5
2026-01-28 09:30:00,126.35,127.49,126.34,127.26,337527.17
2026-01-28 09:45:00,127.25,127.56,127.14,127.55,161207.86
2026-01-28 10:00:00,127.55,127.72,127.28,127.7,197302.07
2026-01-28 10:15:00,127.71,128.05,127.31,127.32,220478.32
2026-01-28 10:30:00,127.31,127.64,127.31,127.42,86732.95
2026-01-28 10:45:00,127.41,127.46,127.24,127.25,73278.46
2026-01-28 11:00:00,127.25,127.37,127.17,127.19,99972.2
2026-01-28 11:15:00,127.19,127.38,127.17,127.34,64777.82
2026-01-28 11:30:00,127.34,127.52,127.11,127.51,108944.47
2026-01-28 11:45:00,127.5,128.3,127.43,128.1,409106.67
2026-01-28 12:00:00,128.11,128.19,127.53,127.57,281964.37
2026-01-28 12:15:00,127.56,127.7,127.15,127.29,228175.15
2026-01-28 12:30:00,127.29,127.43,127.07,127.19,123080.13
2026-01-28 12:45:00,127.2,127.35,126.97,127.18,137378.61
2026-01-28 13:00:00,127.19,127.45,127.08,127.14,219635.44
2026-01-28 13:15:00,127.15,127.35,126.8,127.27,242007.9
2026-01-28 13:30:00,127.26,127.83,127.06,127.59,337622.4
2026-01-28 13:45:00,127.59,127.73,127.13,127.26,122898.45
2026-01-28 14:00:00,127.27,127.29,126.88,126.89,123900.71
2026-01-28 14:15:00,126.89,126.94,126.48,126.78,221602.66
2026-01-28 14:30:00,126.77,127.26,126.48,126.7,346044.31
2026-01-28 14:45:00,126.69,126.91,126.4,126.79,276501.38
2026-01-28 15:00:00,126.78,127.09,125.73,125.76,430300.73
2026-01-28 15:15:00,125.75,126.24,125.44,125.99,430579.94
2026-01-28 15:30:00,126.0,126.23,125.69,126.15,191075.94
2026-01-28 15:45:00,126.15,126.33,125.75,126.0,135623.45
2026-01-28 16:00:00,126.01,126.06,125.6,125.62,204477.25
2026-01-28 16:15:00,125.62,126.47,125.58,126.45,157491.14
2026-01-28 16:30:00,126.45,126.59,125.51,125.76,199912.58
2026-01-28 16:45:00,125.76,126.32,125.74,126.02,150662.44
2026-01-28 17:00:00,126.02,126.34,125.94,126.1,103925.93
2026-01-28 17:15:00,126.11,126.2,125.75,125.87,79615.09
2026-01-28 17:30:00,125.87,126.51,125.17,126.28,355904.45
2026-01-28 17:45:00,126.28,126.99,126.15,126.47,276089.29
2026-01-28 18:00:00,126.47,126.5,125.83,126.24,244702.27
2026-01-28 18:15:00,126.25,126.34,125.75,125.81,118756.44
2026-01-28 18:30:00,125.82,125.98,125.67,125.86,95874.1
2026-01-28 18:45:00,125.86,126.07,125.62,126.03,136291.96
2026-01-28 19:00:00,126.03,126.66,125.73,125.9,473508.02
2026-01-28 19:15:00,125.9,126.27,125.68,125.9,135174.94
2026-01-28 19:30:00,125.9,126.19,125.23,125.43,326254.81
2026-01-28 19:45:00,125.43,126.38,125.42,125.93,226808.53
2026-01-28 20:00:00,125.93,126.32,125.8,126.08,182916.08
2026-01-28 20:15:00,126.09,126.62,125.75,126.37,208293.71
2026-01-28 20:30:00,126.36,126.4,125.64,125.71,178030.32
2026-01-28 20:45:00,125.71,125.76,125.25,125.36,288137.85
2026-01-28 21:00:00,125.36,125.53,124.69,125.36,550891.69
2026-01-28 21:15:00,125.36,125.64,125.24,125.46,89198.76
2026-01-28 21:30:00,125.46,125.6,124.96,125.55,233202.13
2026-01-28 21:45:00,125.55,125.79,125.3,125.41,117706.83
2026-01-28 22:00:00,125.41,125.63,125.26,125.29,96205.52
2026-01-28 22:15:00,125.29,125.52,125.07,125.51,105002.51
2026-01-28 22:30:00,125.52,125.74,125.5,125.72,64894.12
2026-01-28 22:45:00,125.71,125.78,125.52,125.66,133592.4
2026-01-28 23:00:00,125.66,125.7,125.33,125.37,206273.5
2026-01-28 23:15:00,125.36,125.62,125.21,125.22,88193.56
